doc_num,token
0242,"['13-mar-1987', '15:41:31.04', '1987', '25', '30', 'action', 'ag', 'agreement', 'allow', 'also', 'amount', 'amount', 'appeal', 'appeal', 'approv', 'back', 'bankruptci', 'chief', 'compani', 'compani', 'compani', 'corp', 'could', 'could', 'court', 'court', 'court', 'court', 'current', 'date', 'decis', 'dicuss', 'discuss', 'discuss', 'disput', 'distribut', 'dlrs', 'end', 'expedit', 'extend', 'final', 'final', 'g', 'germani', 'hold', 'intern', 'ir', 'ir', 'ir', 'ir', 'issu', 'jerritt', 'jerritt', 'june', 'laser', 'last', 'lead', 'lower', 'made', 'mln', 'much', 'necessari', 'offic', 'oper', 'owe', 'owe', 'plan', 'presid', 'printer', 'process', 'pursu', 'reorgan', 'resolv', 'revenu', 'rule', 'said', 'said', 'said', 'said', 'seek', 'servic', 'siemen', 'siemen', 'simultan', 'solut', 'stephen', 'stk', 'storag', 'storag', 'storag', 'storag', 'take', 'target', 'tax', 'tax', 'tech', 'technolog', 'technolog', 'technolog', 'tri', 'west', 'year']"
0243,"['13-mar-1987', '15:41:46.52', '1983', '1986', '1987', '2.2', '2.2', '7.0', '7.5', '8.2', '9.3', 'adjust', 'analyst', 'annual', 'appar', 'automak', 'begin', 'biggest', 'car', 'car', 'car', 'carmak', 'chrysler', 'co', 'compar', 'consum', 'continu', 'corp', 'corp', 'corpor', 'cut', 'declin', 'domest', 'earli', 'earli', 'eas', 'eight', 'februari', 'forc', 'ford', 'gain', 'general', 'giant', 'gm', 'improv', 'incent', 'industri', 'late', 'layoff', 'level', 'march', 'march', 'mln', 'mln', 'mln', 'model', 'motor', 'motor', 'new', 'pct', 'pct', 'pct', 'perman', 'plant', 'product', 'rate', 'retail', 'said', 'sale', 'sale', 'sale', 'sale', 'season', 'sever', 'sinc', 'sinc', 'sold', 'success', 'temporari', 'time', 'trend', 'u', 'u', 'unit', 'various', 'weaker', 'weakest', 'world', 'year']"
0244,"['13-mar-1987', '15:42:09.99', 'bradford', 'capit', 'capit', 'clear', 'compil', 'corp', 'develop', 'direct', 'form', 'form', 'hous', 'inc', 'industri', 'invest', 'invest', 'list', 'mail', 'mail', 'said', 'taylor', 'unit', 'unit', 'use']"
0245,"['1,020,096', '1,409,867', '1,956,214', '1,974,529', '13-mar-1987', '15.0', '15:45:20.31', '16', '16.5', '18', '3,740,970', '308,927', '348,298', '4', '4,166,750', '52', '72', 'avg', 'cts', 'cts', 'cts', 'cts', 'inc', 'mln', 'mln', 'net', 'net', 'net', 'qtr', 'sale', 'sale', 'shr', 'shr', 'shrs', 'th', 'tronix', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'weigh', 'wght', 'year']"
0246,"['13-mar-1987', '15:45:27.49', '2.2', '20', '900', 'agent', 'agent', 'agent', 'also', 'also', 'also', 'anoth', 'apprehend', 'arrest', 'bank', 'behalf', 'believ', 'believ', 'bogus', 'bond', 'bond', 'bond', 'bond', 'bond', 'brussel', 'brussel', 'capit', 'case', 'cedel', 'citi', 'citi', 'clear', 'clear', 'clear', 'clear', 'clear', 'co', 'co', 'confirm', 'convers', 'corp', 'corp', 'corp', 'corp', 'could', 'coupon', 'cover', 'deliv', 'deni', 'deposit', 'discov', 'discov', 'dlrs', 'enquiri', 'euro', 'euro', 'eurobond', 'euronot', 'european', 'exposur', 'exxon', 'exxon', 'exxon', 'exxon', 'exxon', 'fear', 'firm', 'firm', 'fiscal', 'forg', 'forgeri', 'forgeri', 'forgeri', 'found', 'friday', 'giant', 'given', 'goldman', 'goldman', 'goldman', 'goldman', 'goldman', 'goldman', 'guaranti', 'hous', 'howev', 'inc', 'insur', 'intermediari', 'intern', 'intern', 'investig', 'issu', 'issu', 'item', 'last', 'left', 'london', 'london', 'london', 'loss', 'major', 'major', 'man', 'market', 'market', 'million', 'mln', 'morgan', 'morgan', 'multi', 'name', 'neither', 'new', 'new', 'newspap', 'newspap', 'oil', 'parti', 'pay', 'pay', 'polic', 'polic', 'polic', 'pound', 'receiv', 'respond', 'sach', 'sach', 'sach', 'sach', 'sach', 'sach', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'scandal', 'spokesman', 'spokesman', 'spokesman', 'spokesman', 'spokesman', 'standard', 'subsidiari', 'system', 'telephon', 'third', 'trade', 'trade', 'transact', 'trust', 'unawar', 'unit', 'victim', 'work', 'xon', 'year', 'york', 'zero']"
0247,"['13-mar-1987', '15:45:35.38', '30', '301', 'agreement', 'agricultur', 'also', 'ame', 'ame', 'ame', 'american', 'april', 'ask', 'ban', 'c', 'challeng', 'communiti', 'complaint', 'compli', 'direct', 'ec', 'ec', 'effect', 'european', 'farm', 'file', 'file', 'file', 'fulli', 'general', 'govern', 'group', 'group', 'industri', 'inspect', 'institut', 'intend', 'intend', 'korea', 'livestock', 'man', 'meat', 'meat', 'meat', 'meat', 'meat', 'molpus', 'molpus', 'petit', 'petit', 'plant', 'presid', 'process', 'product', 'requir', 'requir', 'retali', 'said', 'said', 'section', 'senat', 'standard', 'subcommitte', 'tariff', 'told', 'trade', 'trade', 'u', 'u', 'u', 'u', 'would']"
0248,"['13-mar-1987', '15:47:27.24', '300', '500', 'abil', 'act', 'act', 'aim', 'aim', 'although', 'announc', 'avail', 'bank', 'believ', 'brother', 'call', 'cautious', 'chief', 'commerci', 'compani', 'corp', 'cp', 'daniel', 'de', 'dealer', 'dealer', 'dealer', 'dlrs', 'edf', 'edf', 'edf', 'edf', 'edf', 'edf', 'electricit', 'euro', 'euro', 'expect', 'financi', 'finest', 'first', 'franc', 'general', 'goldman', 'guaranti', 'infanc', 'institut', 'intern', 'intern', 'intern', 'intern', 'investor', 'investor', 'issu', 'januari', 'januari', 'lallier', 'lallier', 'late', 'launch', 'ltd', 'ltd', 'maintain', 'make', 'market', 'market', 'market', 'may', 'mln', 'monday', 'monday', 'morgan', 'much', 'note', 'obtain', 'offer', 'offer', 'offic', 'overse', 'paper', 'paper', 'pari', 'plan', 'program', 'program', 'program', 'program', 'program', 'push', 'retail', 'retail', 'sach', 'said', 'said', 'salomon', 'say', 'smaller', 'specif', 'still', 'switzerland', 'telephon', 'term', 'union', 'would', 'would', 'year']"
0249,"['-12', '1,894,764', '10', '10,572,402', '11,254,837', '11,254,837', '13-mar-1987', '15:47:50.80', '19,488,587', '51.17', 'accept', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acreag', 'advantag', 'agricultur', 'asid', 'averag', 'base', 'bonus', 'cbt', 'concentr', 'conserv', 'conserv', 'conserv', 'corn', 'corn', 'corn', 'crop', 'crop', 'date', 'decreas', 'depart', 'dlrs', 'earlier', 'enrol', 'erod', 'erodobl', 'farm', 'farmer', 'farmer', 'farmland', 'figur', 'final', 'firm', 'futur', 'grain', 'grain', 'guess', 'high', 'high', 'idea', 'impact', 'land', 'land', 'larg', 'may', 'mln', 'modest', 'monday', 'neutral', 'neutral', 'new', 'new', 'note', 'offer', 'overal', 'payment', 'payment', 'per', 'poor', 'price', 'price', 'product', 'program', 'program', 'program', 'program', 'rental', 'rental', 'reserv', 'result', 'said', 'said', 'say', 'set', 'sign', 'sign', 'signup', 'sinc', 'soybean', 'submit', 'submit', 'take', 'total', 'total', 'trade', 'trader', 'trader', 'trader', 'u', 'u', 'underpin', 'usda', 'usda', 'week', 'within', 'yield', 'yield']"
0250,"['1.9', '11', '13-mar-1987', '14', '15', '15:48:34.01', '1986', '199,000', '2.5', '261,000', '273,000', '3', '31', '31', '6.4', '7.6', '81,000', 'adjust', 'avalon', 'cts', 'cts', 'cts', 'cts', 'four', 'inc', 'inform', 'jan', 'januari', 'loss', 'loss', 'loss', 'loss', 'loss', 'mahi', 'mln', 'mln', 'mln', 'mln', 'monarch', 'month', 'net', 'net', 'nine', 'note', 'per', 'profit', 'profit', 'profit', 'profit', 'qtr', 'rd', 'rev', 'rev', 'share', 'shr', 'shr', 'split', 'stock', 'three', 'two', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs']"
0251,"['-2', '11-mar-1987', '19:02:33.14', '3', '57', '66', '7', 'approv', 'approv', 'april', 'campbel', 'cast', 'common', 'crk', 'expect', 'favor', 'gold', 'kiena', 'kiena', 'kiena', 'lake', 'ltd', 'ltd', 'mine', 'mine', 'one', 'one', 'owner', 'pct', 'pct', 'pend', 'plan', 'plan', 'red', 'requir', 'said', 'said', 'said', 'sharehold', 'split', 'split', 'split', 'stock', 'stock', 'two', 'two', 'vote', 'vote', 'would']"
0252,"['11-mar-1987', '150,000', '19:04:31.39', '300,000', 'also', 'approv', 'approv', 'approv', 'author', 'employe', 'five', 'inc', 'increas', 'increas', 'increas', 'mln', 'mln', 'number', 'number', 'option', 'reserv', 'said', 'share', 'share', 'share', 'sharehold', 'sharehold', 'system', 'three', 'vanz', 'vanzetti', 'vanzetti']"
0253,"['11-mar-1987', '15', '19:04:38.26', '20', 'april', 'corp', 'cts', 'cts', 'div', 'dividend', 'four', 'four', 'furnitur', 'march', 'pay', 'prior', 'qtli', 'qtli', 'record', 'row', 'row', 'set', 'vs']"
0254,"['11-mar-1987', '169', '1988', '19:05:21.41', 'accept', 'accept', 'administr', 'administr', 'agre', 'agre', 'agre', 'aid', 'aid', 'aim', 'amend', 'amend', 'american', 'announc', 'annual', 'anoth', 'appropri', 'approv', 'around', 'ask', 'bargain', 'barrier', 'barrier', 'basic', 'becom', 'becom', 'bill', 'bill', 'bill', 'bill', 'bill', 'bill', 'bill', 'bill', 'billion', 'call', 'cautious', 'cent', 'chang', 'charg', 'clayton', 'close', 'collect', 'come', 'committe', 'committe', 'committe', 'compani', 'competit', 'competit', 'competit', 'competit', 'competit', 'comprehens', 'congression', 'congression', 'congression', 'consid', 'consid', 'control', 'controversi', 'could', 'countri', 'countri', 'countri', 'criteria', 'cut', 'cut', 'decid', 'deficit', 'deficit', 'democrat', 'democrat', 'democrat', 'democrat', 'deni', 'deserv', 'design', 'develop', 'develop', 'difficult', 'displac', 'dlrs', 'drop', 'earlier', 'eas', 'easier', 'econom', 'educ', 'effect', 'effort', 'effort', 'expect', 'expect', 'export', 'face', 'fail', 'fair', 'final', 'first', 'first', 'first', 'forc', 'forc', 'forc', 'foreign', 'foreign', 'foreign', 'foreign', 'foreign', 'foreign', 'foreign', 'full', 'full', 'full', 'gephardt', 'germani', 'get', 'get', 'good', 'good', 'good', 'held', 'held', 'high', 'hous', 'hous', 'hous', 'hous', 'hous', 'hous', 'hous', 'hurdl', 'identifi', 'imbal', 'import', 'import', 'import', 'improv', 'includ', 'industri', 'industri', 'industri', 'industri', 'injur', 'intend', 'issu', 'jame', 'japan', 'korea', 'largest', 'last', 'last', 'law', 'law', 'lawmak', 'lawmak', 'lawmak', 'led', 'legisl', 'legisl', 'major', 'major', 'make', 'make', 'mandat', 'mandatori', 'market', 'market', 'may', 'may', 'mean', 'mean', 'mean', 'measur', 'meet', 'minimum', 'missouri', 'moder', 'next', 'nomin', 'offer', 'one', 'open', 'open', 'optimist', 'panel', 'part', 'parti', 'partner', 'pass', 'payment', 'penalti', 'per', 'plan', 'plan', 'plan', 'power', 'presid', 'presidenti', 'produc', 'product', 'propos', 'propos', 'protect', 'provid', 'quota', 'reagan', 'reagan', 'reagan', 'record', 'reduct', 'relief', 'relief', 'remov', 'rep', 'report', 'report', 'report', 'repres', 'research', 'resolv', 'retali', 'retali', 'retali', 'richard', 'right', 'rule', 'rule', 'safeti', 'said', 'said', 'said', 'said', 'seek', 'sensit', 'session', 'set', 'set', 'sever', 'south', 'speaker', 'specif', 'sponsor', 'standard', 'state', 'state', 'stimul', 'subcommitte', 'subcommitte', 'support', 'surplus', 'surplus', 'surplus', 'taiwan', 'take', 'tariff', 'technolog', 'temporari', 'ten', 'texa', 'time', 'today', 'told', 'told', 'tomorrow', 'tomorrow', 'tone', 'took', 'toughen', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'trade', 'train', 'transfer', 'turn', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'unfair', 'unit', 'unit', 'version', 'version', 'violat', 'vote', 'vote', 'vote', 'vote', 'wage', 'way', 'way', 'way', 'week', 'west', 'whatev', 'whether', 'whether', 'whether', 'without', 'work', 'worker', 'worker', 'worker', 'would', 'wrap', 'wright', 'year', 'year', 'yesterday', 'yeutter', 'yeutter']"
0255,"['11', '11-mar-1987', '190', '1985', '1986', '1986', '19:06:36.56', '5.1', '7.6', 'accord', 'advantag', 'advantag', 'agreement', 'agreement', 'agreement', 'agreement', 'agricultur', 'agro', 'ahead', 'also', 'anybodi', 'ask', 'assur', 'avail', 'baptist', 'billion', 'billion', 'billion', 'billion', 'boost', 'boost', 'brief', 'busi', 'businessman', 'capac', 'chairman', 'comment', 'commit', 'committe', 'compani', 'compani', 'compani', 'compani', 'concret', 'confer', 'consid', 'contract', 'could', 'could', 'countri', 'deal', 'deal', 'deal', 'decemb', 'declin', 'deficit', 'deficit', 'depend', 'depend', 'deputi', 'design', 'detail', 'discuss', 'discuss', 'dollar', 'dollar', 'doumeng', 'doumeng', 'doumeng', 'effort', 'encourag', 'end', 'estim', 'examin', 'exchang', 'figur', 'finalis', 'finalis', 'first', 'first', 'food', 'foreign', 'foreign', 'foresaw', 'franc', 'franc', 'franc', 'franc', 'franc', 'franc', 'french', 'french', 'french', 'french', 'french', 'french', 'fruit', 'gas', 'give', 'good', 'gosagroprom', 'guarante', 'high', 'imec', 'imec', 'immedi', 'increas', 'increas', 'industri', 'intent', 'intent', 'interagra', 'interest', 'interest', 'interest', 'januari', 'jean', 'joint', 'joint', 'joint', 'juic', 'last', 'last', 'last', 'latest', 'law', 'law', 'mani', 'meet', 'minist', 'minist', 'minist', 'mln', 'month', 'month', 'month', 'moscow', 'murakhovski', 'murakhovski', 'murakhovski', 'murakhovski', 'murakhovski', 'mutual', 'new', 'new', 'news', 'offer', 'offici', 'one', 'one', 'one', 'packag', 'packag', 'pari', 'partner', 'pechiney', 'pechiney', 'pechiney', 'plant', 'possibl', 'possibl', 'poulenc', 'poulenc', 'prepar', 'prepar', 'primarili', 'prime', 'process', 'process', 'product', 'product', 'propos', 'propos', 'propos', 'protect', 'put', 'rapid', 'reduc', 'reduct', 'reduct', 'renew', 'result', 'reuter', 'rhone', 'rhone', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'say', 'shortfal', 'show', 'sign', 'sign', 'soon', 'soviet', 'soviet', 'soviet', 'soviet', 'soviet', 'soviet', 'soviet', 'soviet', 'state', 'sulphur', 'surplus', 'take', 'talk', 'task', 'technolog', 'technolog', 'time', 'told', 'told', 'trade', 'trade', 'trade', 'trade', 'two', 'union', 'union', 'union', 'union', 'union', 'varieti', 'veget', 'ventur', 'ventur', 'visit', 'vsevolod', 'want', 'whether', 'whole', 'worth', 'would', 'year', 'yet', 'yet']"
0256,"['1.495', '11-mar-1987', '19:09:27.77', '210,000', '60', 'account', 'addit', 'affect', 'affect', 'agreement', 'alvit', 'amount', 'amount', 'amount', 'arrang', 'arriv', 'arturo', 'august', 'barrel', 'bpd', 'cent', 'cepe', 'certain', 'commit', 'compani', 'crude', 'crude', 'current', 'damag', 'day', 'day', 'de', 'deal', 'deputi', 'detail', 'discount', 'earthquak', 'earthquak', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador', 'elabor', 'energi', 'energi', 'expect', 'export', 'export', 'export', 'export', 'fernando', 'forc', 'four', 'gave', 'grisanti', 'help', 'hernandez', 'hernandez', 'incom', 'last', 'last', 'lend', 'lend', 'lent', 'loan', 'made', 'mani', 'meet', 'million', 'mine', 'minist', 'minist', 'miraflor', 'month', 'night', 'notifi', 'oil', 'oil', 'oil', 'oil', 'oil', 'oil', 'opec', 'opec', 'opec', 'output', 'palac', 'pdvsa', 'per', 'petroleo', 'pipelin', 'produc', 'quota', 'quota', 'quota', 'quota', 'repay', 'report', 'result', 'said', 'said', 'said', 'said', 'santo', 'say', 'sell', 'serious', 'set', 'speak', 'state', 'suppli', 'suspend', 'talk', 'telex', 'undetermin', 'us', 'venezuela', 'venezuela', 'venezuela', 'venezuela', 'venezuela', 'venezuela', 'volum', 'week', 'would', 'would', 'would', 'would', 'would', 'would', 'yet']"
0257,"['1', '1.3', '1.4', '1.5', '1.5', '11', '11-mar-1987', '14', '17', '18', '1986', '1986', '19:10:26.95', '2', '31', '36.2', '36.9', '57.7', '63.6', '716,000', '901,000', 'account', 'cloth', 'cts', 'cts', 'cts', 'cts', 'dlrs', 'doubt', 'eagl', 'effect', 'egl', 'exchang', 'give', 'inc', 'includ', 'increas', 'issuanc', 'jan', 'loss', 'loss', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'month', 'month', 'nd', 'net', 'net', 'note', 'outstand', 'prefer', 'profit', 'profit', 'profit', 'profit', 'profit', 'profit', 'provis', 'qtr', 'rev', 'rev', 'seri', 'share', 'share', 'share', 'shr', 'shr', 'six', 'six', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs']"
0258,"['11-mar-1987', '19:11:19.94', '220', 'amarah', 'area', 'armi', 'armi', 'attack', 'attack', 'attack', 'back', 'baghdad', 'baghdad', 'basra', 'basra', 'battl', 'battlefield', 'brigad', 'citi', 'communiqu', 'corp', 'corp', 'east', 'eastward', 'fierc', 'fight', 'fled', 'fought', 'fourth', 'fourth', 'front', 'hawizah', 'held', 'highway', 'hour', 'infantri', 'iran', 'iranian', 'iranian', 'iranian', 'iraq', 'iraq', 'iraqi', 'kill', 'launch', 'leav', 'main', 'major', 'mani', 'marsh', 'men', 'overnight', 'port', 'posit', 'rage', 'repel', 'report', 'repuls', 'run', 'said', 'said', 'say', 'six', 'southern', 'southern', 'southern', 'swampland', 'tank', 'town', 'troop', 'war', 'wound', 'year']"
0259,"['11-mar-1987', '19:15:32.68', '3.7', '5.8', '6.2', '9.8', 'action', 'ad', 'advisori', 'allow', 'amount', 'billion', 'billion', 'billion', 'billion', 'bodi', 'bring', 'britain', 'britain', 'britain', 'british', 'brought', 'businessmen', 'call', 'call', 'call', 'channon', 'channon', 'cut', 'decemb', 'deflect', 'demand', 'difficulti', 'direct', 'dlrs', 'dlrs', 'domest', 'domest', 'domest', 'economi', 'economi', 'expand', 'faster', 'foreign', 'fundament', 'govern', 'govern', 'group', 'growth', 'harm', 'heed', 'help', 'high', 'import', 'import', 'import', 'increas', 'increas', 'industri', 'injuri', 'issu', 'issu', 'japan', 'japan', 'japan', 'japan', 'japan', 'japan', 'japan', 'japan', 'japan', 'japanes', 'japanes', 'japanes', 'k', 'last', 'like', 'lobbi', 'london', 'massiv', 'may', 'much', 'must', 'nation', 'nation', 'necessari', 'one', 'particular', 'paul', 'problem', 'propens', 'protection', 'protectionist', 'real', 'recognis', 'reform', 'regrett', 'report', 'restructur', 'rise', 'risk', 'risk', 'said', 'said', 'said', 'said', 'secretari', 'secur', 'sell', 'short', 'sold', 'soon', 'sterl', 'sterl', 'strong', 'substanti', 'succeed', 'surplus', 'surplus', 'term', 'today', 'told', 'trade', 'trade', 'trade', 'trade', 'trade', 'u', 'u', 'us', 'volum', 'well', 'would', 'would', 'year', 'yen']"
0260,"['11-mar-1987', '145', '145', '19:18:49.58', 'accept', 'advis', 'advisor', 'altern', 'among', 'base', 'board', 'board', 'braodacast', 'co', 'co', 'compani', 'conclud', 'corp', 'decid', 'decis', 'direct', 'director', 'dlr', 'dlrs', 'dudley', 'explor', 'fail', 'financi', 'financi', 'fulli', 'futur', 'goldman', 'group', 'inadequ', 'includ', 'investor', 'led', 'manag', 'offer', 'offer', 'offer', 'pend', 'per', 'possibl', 'propos', 'propsect', 'recogn', 'reject', 'restructur', 'sach', 'said', 'said', 'share', 'shr', 'taft', 'taft', 'taft', 'taft', 'tfb', 'theta', 'thing', 'unanim']"
0261,"['08:48:26.10', '100', '12.6', '13.3', '163.8', '190.4', '1986', '1986', '1986', '25', '27', '28', '30.3', '31', '400', '41.0', '475', '694.4', '7,500,000', '9-mar-1987', 'acquisit', 'acquisit', 'acquisit', 'acquisit', 'acquisit', 'action', 'advanc', 'advertis', 'advis', 'advis', 'advisor', 'agreement', 'alreadi', 'alreadi', 'alreadi', 'also', 'anoth', 'antitrust', 'appropri', 'approv', 'approv', 'april', 'arrang', 'arrang', 'ask', 'atalanta', 'atlant', 'author', 'bank', 'basi', 'believ', 'best', 'bid', 'board', 'board', 'board', 'buy', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'caesar', 'capit', 'casino', 'casino', 'casino', 'caw', 'chairman', 'chairman', 'chief', 'citi', 'cjn', 'clear', 'clearanc', 'commiss', 'commiss', 'commit', 'commit', 'compani', 'compani', 'compani', 'compani', 'compani', 'condit', 'condit', 'confid', 'consider', 'consider', 'control', 'control', 'control', 'corp', 'corp', 'cost', 'date', 'decis', 'determin', 'dilut', 'direct', 'director', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'earn', 'earn', 'earn', 'effort', 'effort', 'elect', 'end', 'enough', 'entitl', 'equiti', 'execut', 'expect', 'expir', 'express', 'extend', 'felt', 'file', 'financ', 'financ', 'financ', 'financi', 'financi', 'fiscal', 'fix', 'follow', 'form', 'four', 'fulli', 'game', 'game', 'give', 'give', 'given', 'given', 'gluck', 'gluck', 'go', 'grant', 'group', 'henri', 'high', 'honeymoon', 'hope', 'hotel', 'hotel', 'inc', 'inc', 'inc', 'inc', 'includ', 'indic', 'interest', 'interest', 'interest', 'investor', 'j', 'januari', 'jersey', 'jersey', 'jersey', 'june', 'lack', 'largest', 'law', 'least', 'legal', 'lend', 'letter', 'letter', 'made', 'made', 'major', 'manag', 'manag', 'manag', 'manag', 'march', 'marin', 'market', 'martin', 'maxim', 'may', 'meet', 'mezzanin', 'midland', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mm', 'mountain', 'mts', 'mts', 'mts', 'mts', 'mts', 'mts', 'n', 'negoti', 'nevada', 'nevada', 'nevada', 'new', 'new', 'new', 'new', 'newspap', 'notic', 'numer', 'obstacl', 'obtain', 'offer', 'offer', 'offer', 'offer', 'offic', 'oper', 'outstand', 'own', 'own', 'own', 'own', 'ownership', 'painewebb', 'past', 'past', 'pay', 'pct', 'pct', 'pennsylvania', 'perform', 'pocono', 'problem', 'public', 'pwj', 'quarter', 'rais', 'rather', 'receipt', 'record', 'refus', 'regulatori', 'relat', 'remov', 'repeat', 'request', 'request', 'request', 'resort', 'respons', 'revenu', 'revenu', 'revenu', 'right', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'seat', 'seat', 'second', 'senior', 'septemb', 'serious', 'share', 'share', 'share', 'share', 'sharehold', 'sharehold', 'sharehold', 'sharehold', 'signific', 'sinc', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'sosnoff', 'stake', 'start', 'start', 'state', 'state', 'stress', 'subject', 'suffici', 'syndic', 'tender', 'three', 'throw', 'time', 'transact', 'twicc', 'u', 'unless', 'urg', 'use', 'use', 'valu', 'view', 'way', 'well', 'will', 'withdraw', 'without', 'world', 'world', 'world', 'world', 'world', 'world', 'world', 'would', 'write', 'year', 'yet', 'york']"
0262,"['08:51:35.60', '1.1', '1.5', '1.5', '10.0', '11.5', '12.1', '1984', '1985', '1986', '1986', '1986', '1987', '1987', '1987', '1987', '1987', '1987', '1987', '1987', '2.0', '2.45', '2.5', '2.5', '4.5', '423.95', '432.20', '6.3', '675,000', '7.2', '710,000', '8.5', '9-mar-1987', 'abroad', 'abroad', 'addit', 'agenc', 'agenc', 'analyst', 'averag', 'balanc', 'bank', 'basi', 'billion', 'billion', 'billion', 'billion', 'bring', 'budget', 'caus', 'centraal', 'comment', 'compar', 'compar', 'compar', 'compar', 'compar', 'competit', 'competit', 'condit', 'constant', 'constant', 'consum', 'consumpt', 'continu', 'continu', 'cost', 'cost', 'cost', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cpb', 'cut', 'cut', 'declin', 'deficit', 'deficit', 'deflat', 'depend', 'depress', 'depress', 'document', 'dollar', 'domest', 'domest', 'dutch', 'dutch', 'dutch', 'dutch', 'dutch', 'dutch', 'dutch', 'dutch', 'dutch', 'earli', 'econom', 'econom', 'econom', 'econom', 'economi', 'economist', 'effect', 'employ', 'en', 'energi', 'estim', 'estim', 'estim', 'exchang', 'exclud', 'expect', 'expect', 'expect', 'expect', 'expect', 'expect', 'expect', 'expenditur', 'export', 'export', 'factor', 'fall', 'fall', 'fall', 'fall', 'februari', 'figur', 'figur', 'final', 'firm', 'five', 'fluctuat', 'forecast', 'forecast', 'forecast', 'forecast', 'forecast', 'forecast', 'forecast', 'forecast', 'four', 'four', 'futur', 'futur', 'gas', 'gdp', 'gdp', 'govern', 'govern', 'gross', 'gross', 'grow', 'grow', 'growth', 'growth', 'growth', 'growth', 'growth', 'growth', 'growth', 'growth', 'growth', 'growth', 'guilder', 'guilder', 'guilder', 'guilder', 'guilder', 'guilder', 'guilder', 'guilder', 'heldr', 'higher', 'higher', 'impact', 'import', 'import', 'import', 'incom', 'incom', 'incom', 'increas', 'increas', 'industri', 'industri', 'inflat', 'invest', 'invest', 'issu', 'labour', 'last', 'last', 'last', 'last', 'last', 'last', 'last', 'last', 'last', 'latest', 'latest', 'lower', 'lower', 'margin', 'market', 'market', 'measur', 'merchant', 'mitig', 'month', 'nation', 'nation', 'nation', 'natur', 'net', 'net', 'netherland', 'nni', 'note', 'note', 'note', 'offici', 'oil', 'one', 'outlook', 'outlook', 'pace', 'payment', 'payment', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pessimist', 'pierson', 'pierson', 'pierson', 'plan', 'plan', 'planbureau', 'power', 'price', 'price', 'price', 'price', 'produc', 'product', 'publish', 'purchas', 'rate', 'recent', 'recent', 'record', 'reduc', 'reduc', 'revenu', 'rise', 'rise', 'rise', 'rise', 'rise', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'sale', 'secur', 'secur', 'see', 'seem', 'seen', 'set', 'set', 'set', 'set', 'sharp', 'six', 'slight', 'slight', 'slow', 'slowdown', 'social', 'social', 'substanti', 'surplus', 'tax', 'taxat', 'term', 'term', 'term', 'trade', 'trade', 'two', 'two', 'two', 'two', 'two', 'unemploy', 'unit', 'urg', 'valu', 'volum', 'volum', 'weight', 'well', 'whole', 'within', 'would', 'would', 'would', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'yet', 'zero']"
